TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
f_f000429,호텔아쿠아펠리스,1,1,Y,,,3,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-15 09:25,3,426642,호텔 아쿠아 펠리스
f_f000437,케이스호텔 안동점,0,1,Y,,,3,,,경북 안동시 강남2길 60-16,경북 안동시 정하동 244-4,,,,1,90000,
f_f000461,해운대한신휴플러스오피스텔,0,11,Y,,,2,,,부산 해운대구 해운대로 550,부산 해운대구 우동 777,,,,1,279791,
f_f000484,한화리조트 거제벨버디어,1,4,Y,,,3,,한화 호텔앤드 리조트 (주),경남 거제시 장목면 거제북로 2501-40,경남 거제시 장목면 농소리 25,3337004,4831039023,2023-05-27 00:00,1,640000,숙박비
f_f000489,속초쉼게스트하우스,1,7,Y,,,1,,콤마코퍼레이션 숨게스트하우스,강원특별자치도 속초시 중앙로 66,강원특별자치도 속초시 청학동 482-390,3223025,5121010500,2023-05-27 22:28,3,34400,
f_f000492,레고랜드코리아리조트 레고랜드호텔,1,1,Y,,,4,,레고랜드 코리아 리조트,강원 춘천시 하중도길 128,강원 춘천시 중도동 603,4454745,4211012900,2023-05-17 00:00,1,274400,숙박비
f_f000492,알펜시아 홀리데이인리조트호텔,1,4,Y,,,4,,홀리데이인리조트(알펜시아),강원 평창군 대관령면 솔봉로 325,,3228016,4276038026,2023-05-17 10:12,1,317800,
f_f000493,태백산민박촌,1,11,Y,,,4,,[태백산]태백산민박촌,강원 태백시 천제단길 134,강원 태백시 소도동 331-1,4466187,4219010700,2023-04-11 11:23,1,80000,숙박비
f_f000516,브리드호텔 양양,1,1,Y,,,2,,한화호텔앤드리조트(주),강원 양양군 현남면 인구항길 17,강원 양양군 현남면 인구리 1-77,4505164,4283034021,2023-05-19 15:21,1,404000,
f_f000530,디어웨이브풀빌라,0,3,Y,,,4,,,강원 강릉시 해안로 633-4,강원 강릉시 안현동 204-1,,,,3,671000,
f_f000532,포르투나호텔,0,1,Y,,,4,,,경남 통영시 미수해안로 152,경남 통영시 봉평동 446-2,,,,5,200000,
f_f000538,쏠비치 삼척,0,4,Y,,,4,,,강원 삼척시 수로부인길 453,강원 삼척시 갈천동 225,,,,1,349000,
f_f000543,103랩,0,7,Y,,,1,,,강원 동해시 논골1길 19,강원 동해시 묵호진동 2-352,,,,5,44000,
f_f000543,더다온,0,7,Y,,,1,,,강원 강릉시 율곡로 2886,강원 강릉시 교동 183-200,,,,5,40000,
f_f000568,가봄,0,7,Y,,,2,,,강원 강릉시 초당원길 71-20,강원 강릉시 초당동 234-12,,,,5,100000,
f_f000586,속초아이파크스위트호텔앤레지던스,1,1,Y,,,1,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-31 11:30,1,89820,속초 아이파크
f_f000609,컨피네스오션스위트,0,1,Y,,,4,,,강원 강릉시 사천면 진리항구2길 5,강원 강릉시 사천면 사천진리 86-81,,,,1,326300,
f_f000611,레고랜드코리아리조트,1,1,Y,,,5,,주식회사 엑심베이,서울 구로구 디지털로32가길 16,,4148336,1153010200,2023-05-28 00:00,1,731995,레고랜드 파크 이용권및 숙박
f_f000611,레고랜드코리아리조트,3,1,Y,,,5,,레고랜드코리아 (유),강원특별자치도 춘천시 하중도길 128,강원특별자치도 춘천시 중도동 603,4454745,5111012900,2023-05-28 15:37,1,48000,
f_f000627,상족암군립공원 오토캠핑장,0,5,Y,,,5,,,경남 고성군 하이면 덕명5길 53-7,경남 고성군 하이면 덕명리 15,,,,5,73000,
f_f000650,내게와묵호,1,3,Y,,,1,,내게와묵호,강원특별자치도 동해시 해맞이길 286,강원특별자치도 동해시 묵호진동 4-36,4463225,5117012300,2023-05-12 12:50,1,144000,201호 바다달동네 가장높은곳
f_f000650,삼화사 템플스테이,1,11,Y,,,1,,삼화사,강원특별자치도 동해시 삼화로 584,강원특별자치도 동해시 삼화동 860-1,3221048,5117012400,2023-05-12 14:20,1,70000,템플스테이
f_f000655,소백게스트하우스,2,7,Y,,,2,,소백게스트하우스,경북 영주시 영주로215번길 7-11,경북 영주시 영주동 335-39,4727417,4721010100,2023-05-11 23:48,1,40000,202호 (온돌)
f_f000655,청운채,0,6,Y,,,2,,,경북 안동시 풍천면 하회남촌길 67,경북 안동시 풍천면 하회리 634-2,,,,5,120000,
f_f000669,교원프라퍼티 드림센터,1,1,Y,,,4,,(주)교원프라퍼티 드림센터,경북 경주시 보문로 280-34,,3305021,4713014000,2023-05-06 14:15,1,154000,
f_f000689,엘시아애견풀빌라,0,3,Y,,,2,,,경남 남해군 남면 남면로56번길 6-7,경남 남해군 남면 석교리 847,,,,2,170000,
f_f000710,한화리조트 설악쏘라노,0,4,Y,,,3,,,강원 속초시 미시령로2983번길 111,강원 속초시 장사동 24-1,,,,4,0,
f_f000730,사마솔숲,0,5,N,,,4,,,원학길 485 사마솔숲,,,,,4,0,
f_f000740,더잭슨나인스호텔,0,1,Y,,,1,,,강원 춘천시 중앙로 193,강원 춘천시 근화동 265-1,,,,1,254038,
f_f000767,썬라이즈호텔,1,1,Y,,,3,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-06-02 00:00,3,176000,썬라이즈호텔 속초
f_f000767,호텔마레몬스,1,1,Y,,,3,, (주)여기어때컴퍼니 ,서울 강남구 봉은사로 479,,3122004,1168010500,2023-06-02 10:58,1,226500,숙박비
f_f000782,소노벨비발디파크 B동,1,4,Y,,,4,,(주)컴퍼니합,서울 용산구 후암로48길 15,,4106591,1117010100,2023-04-04 11:49,1,296000,비발디파크 2023올인클루시브 얼리썸머에디션
f_f000790,경주 게스트하우스 프렌즈,0,7,Y,,,3,,,,,,,,1,54000,
f_f000835,발리아쿠아랜드,0,11,N,,,1,,,부산 동구 중앙대로195번길 24,부산 동구 초량2동 542,,,,1,22000,
f_f000835,플래티넘호텔,1,1,Y,,,1,,(주)티몬,,,,,,1,74350,인터넷 P/G
f_f000869,라헨느J펜션,1,3,Y,,,2,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-04-27 00:12,3,187600,고성 라헨느 풀빌라J동
f_f000879,시타딘커넥트호텔 하리부산,1,1,Y,,,2,,시타딘 커넥트호텔 하리,부산 영도구 동삼오션로 58,부산 영도구 동삼동 1180,3352593,2620012100,2023-06-03 23:38,1,86130,
f_f000879,토요코인호텔 부산해운대2호점,1,1,Y,,,2,,트립닷컴,,,,,2023-05-12 00:00,1,145184,토요코인 부산해운대2
f_f000935,통영비치캐슬호텔,1,1,Y,,,2,,통영비치캐슬 호텔 앤 리조트,경남 통영시 평인일주로 486-1,경남 통영시 평림동 812,3333043,4822011200,2023-05-16 21:49,1,75000,캐슬동 더블(오션 뷰)
f_f000940,경주엔한옥펜션,0,3,Y,,,4,,,경북 경주시 충효서악길 81,경북 경주시 서악동 391,,,,1,142484,
f_f000952,평사리가는길,1,8,Y,,,4,,평사리가는길,경북 경주시 첨성로111번길 7-4,경북 경주시 황남동 185-5,4716141,4713011000,2023-05-17 10:20,3,360000,숙박비
f_f000959,한화리조트 경주,0,4,Y,,,4,,,경북 경주시 보문로 182-27,경북 경주시 북군동 30-3,,,,1,50000,
f_f000973,STX리조트,1,4,Y,,,3,,부킹닷컴,,,,,2023-05-22 00:00,1,288790,숙박비
f_f000979,삿갓펜션&캠핑장,0,3,Y,,,4,,,강원 영월군 김삿갓면 김삿갓로 362,강원 영월군 김삿갓면 와석리 878,,,,1,150000,
f_f001074,호텔별,1,2,Y,,,2,,(주)야놀자 ,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-27 14:44,1,80000,경주 호텔 별
f_f001074,힐튼호텔 경주,1,1,Y,,,2,, 힐튼호텔 경주,경북 경주시 보문로 484-7,경북 경주시 신평동 370,3305021,4713013600,2023-05-27 14:04,1,170000,숙박비
f_f001081,경포비치호텔,2,1,Y,,,2,,경포비치호텔,강원 강릉시 해안로406번길 17,강원 강릉시 강문동 303-4,4461024,4215011300,2023-05-22 15:37,1,56060,숙박비
f_f001081,피카소호텔,1,1,Y,,,2,,아고다,,,,,2023-05-18 00:00,1,62160,DONGHAE PICASSO
f_f001092,생림오토캠핑장,1,5,Y,,,1,,생림오토캠핑장,,,,,2023-06-02 17:38,1,30000,잔디사이트/마사
f_f001112,말리꽃펜트하우스,1,7,Y,,,3,,부산 말리꽃 펜트하우스,부산 중구 광복로 88,부산 중구 광복동1가 45,3125001,2611013300,2023-05-25 00:00,3,137000,숙박비
f_f001112,해운대푸르지오시티,0,8,Y,,,3,,,부산 해운대구 해운대해변로298번길 29,부산 해운대구 중동 1123,,,,5,290000,
f_f001116,의성펫월드 오토캠핑장,0,5,Y,,,2,,,,경북 의성군 단북면 노연리 380,,,,1,90000,
f_f001117,기성항,0,5,N,,,3,,,,경북 울진군 기성면 기성리,,,,4,0,
f_f001124,와우펜션,0,3,Y,,,4,,,강원 삼척시 삼척로 4246-15,강원 삼척시 오분동 1-14,,,,1,169000,
f_f001131,경상북도교육청해양수련원,1,4,Y,,,5,,경상북도교육청해양수련원,경북 영덕군 병곡면 고래불로 201,,3318016,4777037040,2023-05-20 09:06,3,160000,숙박비
f_f001134,르그랑샤리오,1,3,Y,,,2,,르그랑샤리오,강원 홍천군 서면 팔봉강변길 261-6,강원 홍천군 서면 팔봉리 977-1,4475604,4272037023,2023-04-22 16:59,1,140000,메그레즈(스파+독립테라스캠핑형바베큐)
f_f001184,청공한옥스테이,0,6,Y,,,4,,,경북 경주시 이구2길 5-6,경북 경주시 구정동 77,,,,1,99000,
f_f001184,코오롱호텔 경주,1,1,Y,,,4,,나이스페이먼츠(주),서울 마포구 마포대로 217,서울 마포구 아현동 686,2113001,1144010100,,1,336000,
f_f001226,체스터톤스속초,3,4,Y,,,3,,체스터톤스 속초호텔,강원특별자치도 속초시 엑스포로 109,강원특별자치도 속초시 교동 1024-1,3223008,5121010600,2023-05-28 00:00,1,272000,숙박비
f_f001226,체스터톤스속초,4,4,Y,,,3,,체스터톤스 속초호텔,강원특별자치도 속초시 엑스포로 109,강원특별자치도 속초시 교동 1024-1,3223008,5121010600,2023-05-28 00:00,1,240000,숙박비
f_f001245,가정회집,0,1,Y,,,2,,,경북 경주시 양남면 양남항구길 23-2,경북 경주시 양남면 읍천리 261,,,,1,79000,
f_f001245,프룩스플럭스호텔,0,1,Y,,,2,,,경북 경주시 양남면 동해안로 440,경북 경주시 양남면 하서리 12-1,,,,1,700000,
f_f001321,어울림하우스 2호점,1,7,Y,,,4,,어울림하우스 2,경북 안동시 남문로 6-2,경북 안동시 남문동 189-24,3307007,4717011600,2023-05-29 09:42,3,70000,숙박비
f_f001363,어반스테이 속초해변,1,1,Y,,,1,,아고다,,,,,2023-05-29 00:00,1,198377,Urbanstay Sokcho Deungdae
f_f001412,럭셔리글램핑W,2,3,Y,,,4,,캠핑톡 주식회사,서울 중구 청계천로 40,서울 중구 다동 10,3100021,1114010200,2023-05-19 23:59,1,349711,[W]풀빌라(실내풀)+BBQ Villa A
f_f001421,풀하우스펜션,1,3,Y,,,1,,풀하우스,경북 포항시 남구 구룡포읍 일출로 242-40,경북 포항시 남구 구룡포읍 석병리 729-1,3303041,4711125023,2023-05-29 09:43,3,152017,숙박비
f_f001446,하운드호텔,1,1,Y,,,2,,,,,,,2023-05-24 12:14,1,63000,MO-걸어오시는 고객님 디럭
f_f001487,웰리힐리 리조트,1,4,Y,,,3,,㈜티몬,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007,1168010700,2023-05-23 00:00,1,104000,"[여행박람회]강원 웰리힐리파크 객실1박+웰컴드링크,최대~7/31까지 예약가능,선착순 추가쿠폰할인혜택"
f_f001514,리엔호텔,0,1,Y,,,2,,,부산 해운대구 해운대로594번가길 4,부산 해운대구 우동 644-1,,,,3,180000,
f_f001550,하이캐슬리조트,1,4,Y,,,3,,인터파크투어,서울 강남구 삼성로 512,,3122005,1168010500,2023-04-30 18:03,1,104192,하이캐슬리조트
f_f001643,켄싱턴호텔 평창,1,1,Y,,,3,,켄싱턴호텔 평창,강원특별자치도 평창군 진부면 진고개로 231,강원특별자치도 평창군 진부면 간평리 221-1,3220059,5176036028,2023-05-28 00:00,1,109000,숙박비
f_f001762,라마다호텔&스위트 평창,0,4,Y,,,4,,,강원 평창군 대관령면 오목길 107,,,,,2,180000,
f_f001843,챌린저가든,1,3,Y,,,2,,첼린저스포츠,강원특별자치도 홍천군 영귀미면 궁터길 121-6,강원특별자치도 홍천군 영귀미면 신봉리 281,4475086,5172035222,2023-06-03 21:23,1,450000,숙박비
f_f001848,알록달록비치펜션,1,3,Y,,,3,,알록달록비치펜션,경북 포항시 남구 구룡포읍 동해안로4492번길 6,경북 포항시 남구 구룡포읍 하정리 808-5,4709140,4711125027,2023-05-25 00:00,1,80000,3인가족온돌원룸 오션뷰
f_f001901,호미곶 고래마을 카라반 펜션,1,5,Y,,,2,,호미곶 고래마을 캠핑장,경북 포항시 남구 호미곶면 고래마을길 8,경북 포항시 남구 호미곶면 강사리 228-6,4709004,4711135021,2023-05-25 22:19,1,159000,숙박비
f_f001906,빌리언웨스턴호텔,1,1,Y,,,3,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-15 16:09,3,156000,Mo-Signature tw
f_f002098,경북대학교 경북대학병원 인재원,1,4,Y,,,4,,경북대학교병원 인재원,경북 포항시 남구 구룡포읍 하정로 153,경북 포항시 남구 구룡포읍 하정리 9,3303057,4711125027,2023-05-27 21:53,1,109000,숙박비
f_f002429,어반스테이 서면,1,11,Y,,,2,,아고다,,,,,2023-05-30 00:00,1,115335,숙박비
f_f002444,푸른바다펜션,0,3,Y,,,3,,,강원 삼척시 삼척로 4246-25,강원 삼척시 오분동 1-18,,,,5,109000,
f_f002486,프라임캠핑장,0,5,Y,,,2,,,강원 춘천시 사북면 사여골길 53,강원 춘천시 사북면 고성리 36-1,,,,4,0,
f_f002600,세인트존스호텔,2,1,Y,,,3,,트립닷컴,,,,,2023-06-01 00:00,1,155929,세인트존스 호텔
f_f002626,H에비뉴 기장일광점,1,1,Y,,,1,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-05-31 10:00,3,65280,MO오픈특가 골든 디럭
f_f002626,H에비뉴 기장일광점,3,1,Y,,,1,,기장 H AVENUE,부산 기장군 일광읍 해송4로 3,부산 기장군 일광읍 삼성리 890-6,3352384,2671025921,2023-05-31 00:00,3,90000,숙박비
f_f002750,유니의바다 구룡포점,0,5,Y,,,2,,,경북 포항시 남구 구룡포읍 일출로332번길 95-10,경북 포항시 남구 구룡포읍 석병리 113-3,,,,1,173530,
f_f002771,하운드호텔,0,1,Y,,,2,,,대구 동구 해동로 208,대구 동구 검사동 984-37,,,,1,72600,
f_f002830,오션투유리조트 속초설악비치 호텔앤콘도,1,4,Y,,,4,,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-01 00:00,3,65610,오션투유 리조트 설악비치 호텔앤콘도
f_f002860,세인트존스호텔,1,1,Y,,,2,,엘케이매니지먼트,서울 마포구 마포대로 217,서울 마포구 아현동 686,2113001,1144010100,2023-05-31 10:41,3,271150,숙박비
f_f002894,산새소리펜션,1,3,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-30 00:00,3,65000,경주 펜션 산새소리
f_f004013,호텔금오산,0,1,Y,,,3,,,경북 구미시 금오산로 400,경북 구미시 남통동 산 24-9,,,,1,159000,
f_f004078,금마늘다목적센터,1,6,Y,,,4,,금마늘 다목적 농업회사법인 주식회사,경북 의성군 금성면 탑운길 584-7,경북 의성군 금성면 운곡리 751-12,4745508,4773037040,2023-07-15 17:08,1,60000,
f_f004103,솜사탕펜션,0,3,Y,,,2,,,경남 남해군 남면 남면로 788-13,,,,,1,53686,
f_f004131,수피아펜션,1,3,Y,,,2,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-06-26 00:00,3,48000,청도 수피아펜션
f_f004657,오션스파사우나,1,6,N,,,3,,속초오션스파,강원특별자치도 속초시 청초호반로 314,,3223018,5121010300,2023-08-05 21:25,1,30000,
f_f004717,아마레호텔,1,1,Y,,,2,,(주)온다,서울 강남구 봉은사로 618,서울 강남구 삼성동 161-5,3122004,1168010500,2023-07-18 12:04,1,70000,대구 혁신도시 아마
f_f004740,도토리하우스,0,7,Y,,,2,,,경북 경주시 태종로 691-12,경북 경주시 노서동 170-11,,,,1,60000,
f_f004760,오늘교동 독채,0,11,Y,,,1,,,강원특별자치도 강릉시 강릉대로121번길 20,,,,,5,200000,
f_f004764,호텔 온도,0,2,Y,,,2,,,대구광역시 중구 중앙대로81길 101(남성로),,,,,1,43000,
f_f004768,더화이트호텔 앤 리조트,1,1,Y,,,2,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-07-21 09:12,1,87400,평창 더 화이트호텔
f_f004947,해운대영무파라드호텔,1,1,Y,,,2,,주식회사 영무파라드,부산 해운대구 해운대해변로298번길 25,,4199300,2635010600,2023-07-27 10:40,1,135000,
f_f005042,에어비앤비 숙소 리라움,0,7,Y,,,1,,,615-8,,,,,5,150000,
f_f005062,파라다이스모텔,0,2,Y,,,3,,,강원특별자치도 강릉시 창해로 291,,,,,1,91000,
f_f005086,스타즈호텔 울산점,1,1,Y,,,3,,아고다,,,,,2023-08-01 00:00,1,122748,스타즈호텔 울산 
f_f005096,더블루테라호텔,1,1,Y,,,2,,호텔스닷컴,,,,,2023-08-06 00:00,1,132639,호텔 더블루테라
f_f005289,AM호텔,1,1,Y,,,3,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-08-23 10:12,1,119000,숙박비
f_f005414,가야미니호텔,1,1,Y,,,2,,(주)야놀자 ,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-08-04 00:21,1,86000,경주 가야 미니 호텔
f_f005444,해비치,1,3,Y,,,2,,해비치,울산 북구 동해안로 762,울산 북구 어물동 214-7,3000101,3120011900,2023-07-21 20:25,1,269100,숙박비
f_f005445,E7양양죽도 오션스테이양양 1208호,1,1,Y,,,2,,에어비앤비,,,,,2023-08-05 17:54,1,121306,숙박비 
f_f005573,준호텔,0,1,Y,,,2,,,경남 합천군 대양면 동부로 64-88,경남 합천군 대양면 정양리 86-3,,,,1,60000,
f_f005602,판도라호텔,1,2,Y,,,2,,판도라호텔,울산 남구 삼산로392번길 8,울산 남구 삼산동 1642-4,4310432,3114010600,2023-08-02 00:00,1,90000,숙박비 
f_f005661,울산시티호텔,1,1,Y,,,1,,아고다,,,,,2023-08-03 00:00,1,66151,Ulsan City Hotel
f_f005686,스테이멜로우펜션,1,3,Y,,,2,,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-07-18 17:07,3,159000,강릉 스테이멜로우
f_f005914,송정스카이풀빌라,1,3,Y,,,2,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-08-04 00:13,1,145100,숙박비
f_f006004,더테라스호텔,1,7,Y,,,1,,에어비앤비,,,,,2023-08-11 17:03,1,120150,숙박비 
f_f006481,플레인호텔,1,1,Y,,,2,,플레인호텔,강원특별자치도 춘천시 스포츠타운길 234,강원특별자치도 춘천시 삼천동 342-1,4454444,5111012500,,1,130000,숙박비 
f_f006520,해운대 그린나래호텔,1,1,Y,,,1,,그린나래호텔 ,부산 해운대구 해운대해변로 233,부산 해운대구 우동 650-1,3133043,2635010500,2023-09-10 00:00,1,39000,숙박비
f_f006526,오크밸리리조트 콘도C동,1,4,Y,,,4,,주식회사 인터파크트리플,서울 강남구 삼성로 512,,3122005,1168010500,2023-07-27 10:24,1,149500,오크밸리리조트
f_f006655,강릉캘리포니아펜션,1,7,Y,,,4,,하파컴퍼니,,,,,2023-08-08 13:13,3,520000,
f_f006739,리센오션파크속초A동,1,1,Y,,,2,,속초오션파크레지던스,강원특별자치도 속초시 해오름로 167,,3223022,5121010800,2023-07-26 18:57,1,150150,"스탠다드 더블 펫(파크뷰)침실,욕실,테라스"
f_f006895,리센오션파크속초,1,1,Y,,,2,,㈜여기어때컴퍼니 ,서울 강남구 봉은사로 479,,3122004,1168010500,2023-08-30 19:57,1,53100,리센오션파크 호텔
f_f006926,안개자니펜션,0,3,Y,,,2,,,강원특별자치도 홍천군 화촌면 당무로 973-14,강원특별자치도 홍천군 화촌면 군업리 372-4,,,,5,110000,
f_f007234,타워더모스트광안오피스텔,1,11,Y,,,2,,에어비앤비,,,,,2023-08-09 16:03,1,103977,숙박비
f_f007260,아스라모텔,1,2,Y,,,2,,강릉 아스라,강원특별자치도 강릉시 옥천로 72-3,강원특별자치도 강릉시 교동 138-8,3220025,5115011000,2023-08-06 00:00,1,50000,숙박비
f_f007571,호텔 루이스,1,2,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-08-02 00:00,3,76500,강릉 루이스호텔 
f_f007878,지브펜션,0,3,Y,,,2,,,강원특별자치도 강릉시 주문진읍 해안로 1935,강원특별자치도 강릉시 주문진읍 주문리 675,,,,1,105000,
f_f007889,세인트존스호텔,0,1,Y,,,2,,,강원특별자치도 강릉시 창해로 307,강원특별자치도 강릉시 강문동 1-1,,,,1,90000,
f_f007889,세인트존스호텔,1,1,Y,,,2,,트립닷컴,,,,,2023-08-18 16:00,1,0,세인트존스 호텔
f_f007925,리센오션파크속초,1,8,Y,,,1,,에어비앤비,,,,,2023-08-06 18:07,1,118800,숙박비
f_f008076,휘닉스 평창,0,1,Y,,,2,,,강원특별자치도 평창군 봉평면 태기로 174,강원특별자치도 평창군 봉평면 면온리 1095-1,,,,4,0,
f_f008079,노블레스글램핑카라반,1,5,Y,,,2,,노블레스 글렘핑 카라반,강원특별자치도 철원군 근남면 하오재로 991,강원특별자치도 철원군 근남면 잠곡리 696-2,3230035,5178032022,2023-08-11 00:00,1,229000,VIP 스파 카라반
f_f008113,H에비뉴 동성로 대구역점,1,1,Y,,,2,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-08-18 00:00,3,59000,오픈특가 Avenue M 
f_f008157,더뷰게스트하우스,0,7,Y,,,1,,,부산 수영구 남천바다로33번길 47,부산 수영구 광안동 199-6,,,,1,60000,
f_f008176,사우스반데코호텔,0,1,Y,,,5,,,부산 부산진구 서면로 6,부산 부산진구 부전동 534-3,,,,1,320000,
f_f008182,골든베이펜션,1,3,Y,,,6,,주식회사 비즈온네트웍스,강원특별자치도 춘천시 춘주로 54,강원특별자치도 춘천시 온의동 107,3218036,5111012100,2023-08-13 18:57,1,300000,골든베이 펜션
f_f008380,롯데리조트 속초,1,1,N,,,4,,(주)호텔롯데 롯데리조트속초,강원특별자치도 속초시 대포항길 186,강원특별자치도 속초시 대포동 995,4469021,5121011000,2023-09-11 00:00,1,220000,숙박비
f_f008418,S202펜션,1,3,Y,,,2,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-08-12 00:48,3,194300,강릉 S202펜션
f_f008427,휘닉스 평창,1,4,Y,,,4,,휘닉스 평창,강원특별자치도 평창군 봉평면 태기로 174,,3228037,5176034025,2023-08-20 10:40,1,284143,숙박비
f_f008814,다소니에민박,1,3,Y,,,6,,다소니에민박,경북 포항시 남구 구룡포읍 병포길129번길 25-2,경북 포항시 남구 구룡포읍 병포리 64-1,4709185,4711125028,2023-05-16 09:37,1,310000,숙박비
f_f008862,씨크루즈호텔속초,1,1,Y,,,3,,엔에이치엔케이씨피 주식회사,서울 구로구 디지털로26길 72,서울 구로구 구로동 222-22,4148327,1153010200,2023-08-13 19:55,1,137914,숙박비
f_f009255,MU모텔,1,2,Y,,,2,,(주)야놀자 ,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-08-25 19:28,3,18000,부산 사상 MU 숙박비
f_f009255,집,1,2,N,,,2,,파리바게뜨,울산 남구 북부순환도로 12,울산 남구 무거동 1439-9,3169027,3114010100,2023-08-26 20:40,1,3000,생크림
f_f009311,올라호텔,0,1,Y,,,2,,,부산 해운대구 송정광어골로 49,부산 해운대구 송정동 437-9,,,,4,65000,
f_f009530,숙소,1,7,Y,,,2,,에어비앤비,,,,,2023-07-25 18:29,1,69318,숙박비
f_f009968,위드랜드 멤버스하우스 강릉,0,4,Y,,,2,,,강원특별자치도 강릉시 공항길127번길 22,강원특별자치도 강릉시 남항진동 42,,,,4,400000,
f_f010099,노스하버호텔,1,1,Y,,,2,,아고다페이먼트코리아 유한회사,서울 중구 을지로 100,,3101006,1114010500,2023-08-23 22:27,1,52114,노스하버 호텔
f_f010337,다온채,0,7,Y,,,5,,,부산 수영구 광안해변로307번길 15,,,,,1,242400,
